PropID,City,State,Property Type,Servicer,Servicer Type,Loan Type,UnPaid Balance,Current Prop Value,Loan Status
80,Atlanta,GA,MF,Wells,Bank,ARM,192172,180000,60
81,Atlanta,GA,MF,Wells,Bank,FR,150121,125000,60
82,Atlanta,GA,CO,PHH,Mtg Company,FR,550000,525000,30
83,Atlanta,GA,MF,PHH,Mtg Company,ARM,192172,196481,0
84,Atlanta,GA,MF,Chase,Bank,FR,240287,296515,0
85,Atlanta,GA,CO,First Horizon,Mtg Company,FR,325924,219316,30
86,Atlanta,GA,SFA,National City,Bank,FR,250638,275977,0
87,Atlanta,GA,SFA,National City,Bank,FR,192172,196481,30
88,Atlanta,GA,SFA,EDS CU,Credit Union,FR,150121,101982,30
89,Atlanta,GA,SFA,PHH,Mtg Company,ARM,550000,449533,90
90,Atlanta,GA,SFA,BofA,Bank,ARM,192172,160000,60
91,Atlanta,GA,CO,BofA,Bank,ARM,240287,296515,0
92,Atlanta,GA,MF,Fifth Third,Thrift,FR,325924,310281,60
93,Atlanta,GA,MF,National City,Bank,FR,250638,275977,0
94,Atlanta,GA,CO,Wells,Bank,ARM,192172,150505,60
95,Atlanta,GA,MF,Wells,Bank,FR,150121,101982,30
96,Atlanta,GA,MF,First Horizon,Mtg Company,FR,550000,449533,90
97,Atlanta,ga,CO,BofA,Bank,FR,192172,196481,30
98,Atlanta,GA,SFA,Chase,Bank,FR,150121,101982,30
99,Atlanta,GA,SFA,Chase,Bank,FR,325924,310281,60
100,Atlanta,GA,SFA,PHH,Mtg Company,ARM,250638,275977,0
101,Atlanta,GA,SFA,Wells,Bank,ARM,240287,296515,0
102,Atlanta,GA,SFA,First Horizon,Mtg Company,ARM,150121,101982,30
102,Atlanta,GA,SFA,First Horizon,Mtg Company,ARM,150121,101982,90
103,Atlanta,GA,CO,Wells,Bank,FR,550000,449533,60
104,Atlanta,GA,MF,Wells,Bank,FR,192172,169000,60
105,Atlanta,Ga,MF,Fifth Third,Thrift,ARM,150121,101982,90
106,Atlanta,GA,CO,PHH,Mtg Company,FR,550000,449533,60
107,Atlanta,GA,MF,Chase,Bank,FR,250638,275977,0
108,Atlanta,GA,MF,First Horizon,Mtg Company,FR,240287,296515,REO
109,Atlanta,GA,CO,First Horizon,Mtg Company,FR,150121,200000,0
110,Atlanta,GA,SFA,National City,Bank,FR,550000,650000,0
111,Atlanta,GA,SFA,EDS CU,Credit Union,ARM,192172,171171,60
112,Atlanta,GA,SFA,PHH,Mtg Company,ARM,150121,230000,0
113,Atlanta,GA,SFA,PHH,Mtg Company,ARM,550000,545545,30
114,Atlanta,GA,SFA,BofA,Bank,FR,250638,275977,0
115,Atlanta,GA,CO,Fifth Third,Thrift,FR,240287,200000,60
116,Atlanta,GA,MF,National City,Bank,ARM,325924,340000,0
117,Atlanta,GA,MF,National City,Bank,FR,550000,449533,90
118,Atlanta,GA,CO,Wells,Bank,FR,192172,175123,30
119,Atlanta,GA,MF,First Horizon,Mtg Company,FR,150121,160000,30
119,Atlanta,GA,MF,First Horizon,Mtg Company,FR,150121,160000,90
120,Atlanta,GA,MF,BofA,Bank,FR,550000,650000,60
121,Atlanta,GA,CO,BofA,Bank,FR,192172,196481,60
121,Atlanta,GA,CO,BofA,Bank,FR,192172,196481,REO
122,Atlanta,GA,SFA,Fifth Third,Thrift,ARM,150121,175000,30
123,Atlanta,GA,SFA,BofA,Bank,ARM,550000,700000,0
124,Atlanta,GA,SFA,EDS CU,Credit Union,ARM,250638,275977,0
125,Atlanta,GA,SFA,BofA,Bank,FR,240287,296515,REO
126,Atlanta,GA,SFA,First Horizon,Mtg Company,FR,150121,101982,90
127,Atlanta,GA,CO,Wells,Bank,ARM,550000,555555,0
128,Atlanta,GA,MF,Fifth Third,Thrift,FR,192172,196481,0
129,Atlanta,GA,MF,Wells,Bank,FR,150121,210000,30
129,Atlanta,GA,MF,Wells,Bank,FR,150121,210000,90
130,Atlanta,GA,CO,PHH,Mtg Company,FR,550000,605000,60
131,Atlanta,GA,MF,Chase,Bank,FR,250638,275977,0
132,Atlanta,GA,MF,First Horizon,Mtg Company,FR,240287,296515,REO
133,Atlanta,GA,CO,Chase,Bank,ARM,325924,310281,60
134,Atlanta,GA,SFA,National City,Bank,ARM,550000,449533,90
135,Atlanta,GA,SFA,EDS CU,Credit Union,ARM,192172,196481,60
136,Atlanta,GA,SFA,PHH,Mtg Company,FR,150121,210000,0
137,Atlanta,GA,SFA,EDS CU,Credit Union,FR,550000,570200,0
138,Atlanta,ga,SFA,BofA,Bank,ARM,192172,196481,0
139,Atlanta,ga,CO,Fifth Third,Thrift,FR,240287,296515,0
140,Atlanta,ga,MF,National City,Bank,FR,325924,219316,30
141,Atlanta,ga,MF,EDS CU,Credit Union,FR,250638,275977,0
142,Atlanta,ga,CO,EDS CU,Credit Union,FR,192172,196481,30
143,Atlanta,ga,MF,National City,Bank,FR,150121,101982,30
144,Atlanta,ga,MF,Chase,Bank,ARM,550000,449533,90
145,Atlanta,GA,CO,Fifth Third,Thrift,ARM,192172,160000,60
146,Atlanta,GA,SFA,Fifth Third,Thrift,ARM,240287,296515,0
147,Atlanta,GA,SFA,BofA,Bank,FR,325924,310281,60
148,Atlanta,GA,SFA,EDS CU,Credit Union,FR,250638,275977,0
149,Atlanta,GA,SFA,First Horizon,Mtg Company,ARM,192172,196481,60
150,Atlanta,GA,SFA,First Horizon,Mtg Company,FR,150121,101982,30
151,Atlanta,GA,CO,Wells,Bank,FR,550000,449533,90
152,Atlanta,GA,MF,Fifth Third,Thrift,FR,192172,196481,30
153,Atlanta,GA,MF,PHH,Mtg Company,FR,150121,101982,30
154,Atlanta,GA,CO,PHH,Mtg Company,FR,325924,310281,0
