Account,City,State,Property Type,Servicer,Servicer Type,Loan Type,UnPaid Balance,0,30,60,90,REO,Current Prop Value,LTV,Avg OEP,Unemployment,Avg Values,Inventory,Days on Market
ACCT_1,Albuquerque,NM,CO,National City,Bank,FR,192172,,,1,,,170000,$1.13,-0.13,6.30%,"$176,891","36,800",145
ACCT_2,Albuquerque,NM,MF,National City,Bank,FR,240287,,,1,,,200000,$1.20,-0.2,7.20%,"$187,345","24,341",240
ACCT_3,Albuquerque,NM,SFA,Fifth Third,Thrift,ARM,192172,,1,,,,175000,$1.10,-0.1,6.30%,"$176,891","36,800",145
ACCT_4,Albuquerque,NM,SFA,BofA,Bank,ARM,240287,1,,,,,296515,$0.81,0.19,6.30%,"$176,891","36,800",145
ACCT_5,Albuquerque,NM,SFA,BofA,Bank,FR,150121,,1,,1,,145000,$1.04,-0.04,7.10%,"$224,700","22,781",120
ACCT_6,Albuquerque,NM,SFA,EDS CU,Credit Union,FR,550000,,,1,,,475000,$1.16,-0.16,6.30%,"$176,891","36,800",145
ACCT_7,Albuquerque,NM,SFA,First Horizon,Mtg Company,FR,192172,,,1,,1,180000,$1.07,-0.07,10.60%,"$43,125","15,373",197
ACCT_8,Albuquerque,NM,MF,Wells,Bank,ARM,150121,,1,,,,175000,$0.86,0.14,6.30%,"$176,891","36,800",145
ACCT_9,Albuquerque,NM,CO,Wells,Bank,FR,550000,1,,,,,700000,$0.79,0.21,7.20%,"$187,345","24,341",240
ACCT_10,Albuquerque,NM,CO,Fifth Third,Thrift,FR,250638,1,,,,,275977,$0.91,0.09,6.30%,"$176,891","36,800",145
ACCT_11,Albuquerque,NM,MF,PHH,Mtg Company,FR,240287,,,,,1,296515,$0.81,0.19,6.30%,"$176,891","36,800",145
ACCT_12,Albuqurque,NM,MF,Chase,Bank,FR,150121,,,,1,,101982,$1.47,-0.47,7.10%,"$224,700","22,781",120
ACCT_13,Albuquerque,NM,CO,First Horizon,Mtg Company,FR,550000,1,,,,,500000,$1.10,-0.1,6.30%,"$176,891","36,800",145
ACCT_14,Albuquerque,NM,MF,First Horizon,Mtg Company,ARM,192172,,,1,,,165000,$1.17,-0.16,7.20%,"$187,345","24,341",240
ACCT_15,Albuquerque,NM,SFA,National City,Bank,ARM,150121,,,,1,,120000,$1.25,-0.25,6.30%,"$176,891","36,800",145
ACCT_16,Albuquerque,NM,SFA,EDS CU,Credit Union,FR,550000,,,1,,,470000,$1.17,-0.17,6.30%,"$176,891","36,800",145
ACCT_17,Albuquerque,NM,SFA,PHH,Mtg Company,FR,250638,1,,,,,275977,$0.91,0.09,7.10%,"$224,700","22,781",120
ACCT_18,Albuquerque,NM,SFA,PHH,Mtg Company,FR,240287,1,,,,,296515,$0.81,0.19,6.30%,"$176,891","36,800",145
ACCT_19,Albuquerque,NM,SFA,BofA,Bank,ARM,325924,,,1,,,310281,$1.05,-0.05,10.60%,"$43,125","15,373",197
ACCT_20,Albuquerque,NM,MF,Fifth Third,Thrift,FR,550000,,,,1,,449533,$1.22,-0.22,6.30%,"$176,891","36,800",145
ACCT_21,Albuquerque,NM,CO,National City,Bank,FR,192172,,,1,,,180000,$1.07,-0.07,7.20%,"$187,345","24,341",240
ACCT_22,Albuquerque,NM,CO,National City,Bank,FR,150121,,,1,,,125000,$1.20,-0.2,6.30%,"$176,891","36,800",145
ACCT_23,Albuquerque,NM,MF,EDS CU,Credit Union,FR,550000,,1,,,,525000,$1.05,-0.05,6.30%,"$176,891","36,800",145
ACCT_24,Albuquerque,NM,MF,National City,Bank,FR,192172,1,,,,,196481,$0.98,0.02,7.10%,"$224,700","22,781",120
ACCT_25,Albuquerque,NM,CO,Chase,Bank,ARM,240287,1,,,,,296515,$0.81,0.19,6.30%,"$176,891","36,800",145
ACCT_26,Albuquerque,NM,MF,National City,Bank,ARM,325924,,1,,,,219316,$1.49,-0.49,7.20%,"$187,345","24,341",240
ACCT_27,Albuquerque,NM,SFA,Fifth Third,Thrift,FR,250638,1,,,,,275977,$0.91,0.09,6.30%,"$176,891","36,800",145
ACCT_28,Albuquerque,NM,SFA,BofA,Bank,FR,192172,,1,,,,196481,$0.98,0.02,6.30%,"$176,891","36,800",145
ACCT_29,Albuquerque,NM,SFA,EDS CU,Credit Union,FR,150121,,1,,,,101982,$1.47,-0.47,7.10%,"$224,700","22,781",120
ACCT_30,Albuquerque,NM,SFA,BofA,Bank,ARM,550000,,,,1,,449533,$1.22,-0.22,6.30%,"$176,891","36,800",145
ACCT_31,Albuquerque,NM,SFA,First Horizon,Mtg Company,FR,192172,,,1,,,160000,$1.20,-0.2,10.60%,"$43,125","15,373",197
ACCT_32,Albuquerque,NM,MF,Wells,Bank,FR,240287,1,,,,,296515,$0.81,0.19,6.30%,"$176,891","36,800",145
ACCT_33,Albuquerque,NM,CO,Fifth Third,Thrift,FR,325924,,,1,,,310281,$1.05,-0.05,7.20%,"$187,345","24,341",240
ACCT_34,Albuquerque,NM,CO,Wells,Bank,FR,250638,1,,,,,275977,$0.91,0.09,6.30%,"$176,891","36,800",145
ACCT_35,Albuquerque,NM,MF,PHH,Mtg Company,FR,192172,,,1,,,150505,$1.28,-0.28,6.30%,"$176,891","36,800",145
ACCT_36,Albuquerque,NM,MF,Chase,Bank,ARM,150121,,1,,,,101982,$1.47,-0.47,7.10%,"$224,700","22,781",120
ACCT_37,Albuquerque,NM,CO,First Horizon,Mtg Company,ARM,550000,,,,1,,449533,$1.22,-0.22,6.30%,"$176,891","36,800",145
